fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
p1-06,36,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,37,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,38,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,39,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,40,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,41,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,42,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,43,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,44,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,45,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,46,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,47,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,48,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,49,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,50,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,51,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,52,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,53,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,54,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,55,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,56,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,57,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,58,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,59,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,60,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,61,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,62,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,63,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,64,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,65,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,66,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,67,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,68,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,69,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,70,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,71,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,72,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,73,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,74,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,75,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,76,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,77,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,78,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,79,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,80,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,81,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,82,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,83,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,84,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,85,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,86,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,87,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,88,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,89,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,90,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,91,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,92,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,93,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,94,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,95,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,96,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,97,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,98,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,99,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,100,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,101,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,102,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,103,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,104,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,105,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,106,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,107,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,108,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,109,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,110,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,111,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,112,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,113,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,114,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,115,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,116,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,117,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,118,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,119,1.000000,1.000000,1.000000,1.000000,2,2
p1-06,120,1.000000,1.000000,1.000000,1.000000,2,2
